282.65 -65.00  6007
279.59 -60.61  6007
280.73 -60.74  6007
281.89 -60.86  6007
283.05 -60.97  6007
279.62 -64.20  6007
280.91 -64.33  6007
282.21 -64.45  6007
283.53 -64.56  6007
283.87 -62.05  6007
280.52 -63.78  6007
281.80 -63.90  6007
283.08 -64.02  6007
279.93 -61.16  6007
282.66 -61.95  6007
281.46 -61.83  6007
280.27 -61.71  6007
280.39 -60.19  6007
280.15 -63.23  6007
281.39 -63.36  6007
282.65 -63.47  6007
283.93 -63.58  6007
281.52 -60.31  6007
282.66 -60.42  6007
283.81 -60.53  6007
282.28 -59.88  6007
288.32 -64.35  6008
286.13 -60.70  6008
287.30 -60.78  6008
284.74 -63.13  6008
286.58 -61.24  6008
284.64 -61.61  6008
284.30 -62.59  6008
287.77 -61.31  6008
288.26 -61.83  6008
285.69 -60.17  6008
285.54 -62.68  6008
286.78 -62.76  6008
288.03 -62.83  6008
287.28 -63.29  6008
288.00 -60.31  6008
286.84 -60.25  6008
284.55 -60.08  6008
284.97 -60.62  6008
287.05 -61.77  6008
287.53 -64.81  6008
287.53 -62.30  6008
286.18 -64.74  6008
286.30 -62.23  6008
284.85 -64.66  6008
285.40 -61.16  6008
284.22 -61.07  6008
283.99 -65.10  6008
285.08 -62.15  6008
285.84 -61.69  6008
285.21 -63.67  6008
286.49 -63.75  6008
287.79 -63.82  6008
284.38 -64.12  6008
285.69 -64.21  6008
287.00 -64.28  6008
286.01 -63.22  6008
289.65 -60.89  6009
292.58 -61.48  6009
291.37 -61.45  6009
290.17 -61.41  6009
288.97 -61.37  6009
288.88 -64.88  6009
290.23 -64.92  6009
291.59 -64.96  6009
291.93 -61.97  6009
292.12 -59.97  6009
290.97 -59.94  6009
289.82 -59.90  6009
288.67 -59.85  6009
289.65 -64.40  6009
290.98 -64.45  6009
292.32 -64.48  6009
290.70 -61.93  6009
289.48 -61.89  6009
292.66 -60.48  6009
291.49 -60.45  6009
290.32 -60.42  6009
289.16 -60.37  6009
289.09 -63.88  6009
290.40 -63.93  6009
291.71 -63.96  6009
288.55 -63.36  6009
289.84 -63.41  6009
291.12 -63.45  6009
292.41 -63.48  6009
292.03 -60.97  6009
290.84 -60.94  6009
288.47 -60.84  6009
289.29 -62.88  6009
290.56 -62.93  6009
291.82 -62.96  6009
288.77 -62.36  6009
290.01 -62.41  6009
291.25 -62.45  6009
292.50 -62.48  6009
293.75 -62.49  6010
294.36 -63.00  6010
295.64 -63.00  6010
296.91 -62.99  6010
294.40 -61.00  6010
295.60 -61.00  6010
296.79 -60.99  6010
296.97 -63.99  6010
295.66 -64.00  6010
294.34 -64.00  6010
293.03 -63.99  6010
293.83 -60.50  6010
296.21 -61.49  6010
295.00 -61.50  6010
296.34 -64.49  6010
295.00 -64.50  6010
293.66 -64.49  6010
295.00 -60.50  6010
296.17 -60.50  6010
293.27 -59.99  6010
293.16 -61.99  6010
295.00 -62.50  6010
296.25 -62.49  6010
296.84 -61.99  6010
297.05 -64.99  6010
295.68 -65.00  6010
294.32 -65.00  6010
292.95 -64.99  6010
294.42 -60.00  6010
295.58 -60.00  6010
296.73 -59.99  6010
294.39 -62.00  6010
293.21 -60.99  6010
296.29 -63.49  6010
295.00 -63.50  6010
293.71 -63.49  6010
295.61 -62.00  6010
293.79 -61.49  6010
293.09 -62.99  6010
300.18 -59.90  6011
298.41 -64.96  6011
299.77 -64.92  6011
301.12 -64.88  6011
297.68 -64.48  6011
299.02 -64.45  6011
300.35 -64.40  6011
298.29 -63.96  6011
299.60 -63.93  6011
300.91 -63.88  6011
297.59 -63.48  6011
298.88 -63.45  6011
300.16 -63.41  6011
301.45 -63.36  6011
298.18 -62.96  6011
299.44 -62.93  6011
300.71 -62.88  6011
297.50 -62.48  6011
298.75 -62.45  6011
299.99 -62.41  6011
301.23 -62.36  6011
298.07 -61.97  6011
299.30 -61.93  6011
300.52 -61.89  6011
297.42 -61.48  6011
298.63 -61.45  6011
299.83 -61.41  6011
301.03 -61.37  6011
297.97 -60.97  6011
299.16 -60.94  6011
300.35 -60.89  6011
301.53 -60.84  6011
297.34 -60.48  6011
298.51 -60.45  6011
299.68 -60.42  6011
300.84 -60.37  6011
297.88 -59.97  6011
299.03 -59.94  6011
301.33 -59.85  6011
305.03 -60.62  6012
304.46 -62.68  6012
303.22 -62.76  6012
301.97 -62.83  6012
302.47 -62.30  6012
305.45 -60.08  6012
305.78 -61.07  6012
304.79 -63.67  6012
303.51 -63.75  6012
302.21 -63.82  6012
304.60 -61.16  6012
303.42 -61.24  6012
302.23 -61.31  6012
305.62 -64.12  6012
304.31 -64.21  6012
303.00 -64.28  6012
301.68 -64.35  6012
305.26 -63.13  6012
303.99 -63.22  6012
302.95 -61.77  6012
304.16 -61.69  6012
305.36 -61.61  6012
302.72 -63.29  6012
302.00 -60.31  6012
303.16 -60.25  6012
304.31 -60.17  6012
303.82 -64.74  6012
305.15 -64.66  6012
304.92 -62.15  6012
306.01 -65.10  6012
303.70 -62.23  6012
302.47 -64.81  6012
301.74 -61.83  6012
302.70 -60.78  6012
303.87 -60.70  6012
305.70 -62.59  6012
308.54 -61.83  6013
306.95 -60.97  6013
308.11 -60.86  6013
309.27 -60.74  6013
310.41 -60.61  6013
306.93 -62.49  6013
310.22 -62.68  6013
308.99 -62.81  6013
307.76 -62.93  6013
306.51 -63.03  6013
309.85 -63.23  6013
308.61 -63.36  6013
307.35 -63.47  6013
307.34 -61.95  6013
309.73 -61.71  6013
306.19 -60.53  6013
307.34 -60.42  6013
308.48 -60.31  6013
309.61 -60.19  6013
306.07 -63.58  6013
309.48 -63.78  6013
308.20 -63.90  6013
306.92 -64.02  6013
310.38 -64.20  6013
309.09 -64.33  6013
306.55 -61.51  6013
306.59 -59.99  6013
307.72 -59.88  6013
307.73 -61.40  6013
310.07 -61.16  6013
308.15 -62.38  6013
307.79 -64.45  6013
306.47 -64.56  6013
310.00 -64.75  6013
308.69 -64.88  6013
307.35 -65.00  6013
308.91 -61.29  6013
309.37 -62.26  6013
306.13 -62.05  6013
279.84 -57.57  6014
282.30 -56.84  6014
280.89 -57.70  6014
281.94 -57.81  6014
283.37 -58.46  6014
281.27 -56.72  6014
280.25 -56.60  6014
283.70 -57.48  6014
282.65 -57.38  6014
281.60 -57.27  6014
282.29 -58.36  6014
283.94 -54.98  6014
282.96 -54.89  6014
281.98 -54.78  6014
281.01 -54.66  6014
280.04 -54.54  6014
283.30 -55.42  6014
282.30 -55.32  6014
281.32 -55.21  6014
280.34 -55.09  6014
