/home/sundoggie/sembach/dog2/vela_6413/hd74455/hd74455_1304370.dat
1-d GHRS image created 27-Jan-1999 16:54:34.00 by IMSAVE(v5.1)
0 data pairs flagged bad
 
OBJECT =                                HD 74455  / Object
COMMENT=                     HD 74455  z37j0307t  / Object comment
ION    =                                   SI II  / Ion
WAVC   =                                1304.370  / Laboratory wavelength
MAPI   =                                      -1  / Original map number
ORDER  =                                      43  / Order number
NPTS   =                                    2000  / Length of array
XTITLE =                                          / X axis title
YTITLE =                Net Count Rate per Diode  / Y axis title
AXFLAG =                                      -1  / Axis flag
SMFLAG =                                       0  / Smoothing flag
TAFLAG =                                       0  / Tau plot flag
;Update History:
;GHRS_PLTS(v4.0)::  hd74455_1304370.dat  8-May-1997 15:41:20.00
;GHRS_PLTS(v4.0)::  HD 74455  z37j0307t
;GHRS_PLTS(v4.0)::  Scattered light correction [c,d] = [0.000,0.040]
;GHRS_PLTS(v4.0)::  FPN template = NONE
;GHRS_PLTS(v4.0)::  FP-SPLIT Offsets (if known)
;GHRS_PLTS(v4.0)::  -0.00 18.83
;GHRS_PLTS(v4.0)::  FP-SPLIT merge method = Sync interpolation
;GHRS_PLTS(v4.0)::  HST Archive ID = z37j0307t
;IMREAD(v5.0)::  /home/sundoggie/sembach/dog2/vela_6413/hd74455/../hd74455_1304370.dat 27-Jan-1999 16:54:31.00
;SHIFT_HD74455:: Shift applied = -12.8699 km/sec  27-Jan-1999 16:54:34.00
-------------------------------------------------------------------------------
 -1.10156975E+03  9.78779526E+01
 -1.10076713E+03  1.02287163E+02
 -1.09996452E+03  9.96066971E+01
 -1.09916191E+03  1.00043289E+02
 -1.09835930E+03  1.04557716E+02
 -1.09755681E+03  1.00583366E+02
 -1.09675420E+03  9.79699936E+01
 -1.09595170E+03  1.04205696E+02
 -1.09514921E+03  1.01563675E+02
 -1.09434660E+03  9.92885056E+01
 -1.09354411E+03  1.03148415E+02
 -1.09274162E+03  1.06457275E+02
 -1.09193925E+03  1.01079430E+02
 -1.09113676E+03  1.00513000E+02
 -1.09033427E+03  1.02170059E+02
 -1.08953191E+03  1.04176697E+02
 -1.08872954E+03  1.02144081E+02
 -1.08792717E+03  1.03470688E+02
 -1.08712468E+03  9.97137146E+01
 -1.08632231E+03  1.03146988E+02
 -1.08552006E+03  1.02203964E+02
 -1.08471770E+03  1.00310768E+02
 -1.08391533E+03  1.01538170E+02
 -1.08311308E+03  1.03142456E+02
 -1.08231071E+03  1.01150162E+02
 -1.08150847E+03  1.04613121E+02
 -1.08070622E+03  1.05036003E+02
 -1.07990398E+03  1.04170479E+02
 -1.07910173E+03  1.01212990E+02
 -1.07829948E+03  1.01236748E+02
 -1.07749724E+03  1.03419121E+02
 -1.07669511E+03  1.04475021E+02
 -1.07589287E+03  1.02318047E+02
 -1.07509074E+03  1.04466522E+02
 -1.07428862E+03  1.02128319E+02
 -1.07348650E+03  1.03755096E+02
 -1.07268437E+03  1.04138145E+02
 -1.07188225E+03  1.00493149E+02
 -1.07108012E+03  1.03567719E+02
 -1.07027800E+03  1.02462227E+02
 -1.06947600E+03  1.02959183E+02
 -1.06867400E+03  1.00465157E+02
 -1.06787187E+03  1.06085968E+02
 -1.06706987E+03  1.03800835E+02
 -1.06626787E+03  1.03884460E+02
 -1.06546587E+03  1.04379585E+02
 -1.06466386E+03  1.02866661E+02
 -1.06386186E+03  1.01963402E+02
 -1.06305998E+03  1.03687729E+02
 -1.06225798E+03  1.05432800E+02
 -1.06145610E+03  1.07845314E+02
 -1.06065410E+03  1.06698868E+02
 -1.05985222E+03  1.10074829E+02
 -1.05905034E+03  1.08935555E+02
 -1.05824846E+03  1.04362862E+02
 -1.05744658E+03  1.04347298E+02
 -1.05664482E+03  1.06670937E+02
 -1.05584294E+03  1.04830185E+02
 -1.05504118E+03  1.07771271E+02
 -1.05423930E+03  1.09234421E+02
 -1.05343754E+03  1.03679855E+02
 -1.05263579E+03  1.07069923E+02
 -1.05183403E+03  1.07347260E+02
 -1.05103227E+03  1.04240479E+02
 -1.05023051E+03  1.06989426E+02
 -1.04942888E+03  1.05053047E+02
 -1.04862712E+03  1.09394257E+02
 -1.04782548E+03  1.06491852E+02
 -1.04702373E+03  1.08082527E+02
 -1.04622209E+03  1.08862740E+02
 -1.04542045E+03  1.08800903E+02
 -1.04461882E+03  1.06290375E+02
 -1.04381718E+03  1.07213486E+02
 -1.04301555E+03  1.08100365E+02
 -1.04221403E+03  1.08407631E+02
 -1.04141240E+03  1.05094460E+02
 -1.04061088E+03  1.10505379E+02
 -1.03980925E+03  1.07858208E+02
 -1.03900774E+03  1.08589081E+02
 -1.03820622E+03  1.09481194E+02
 -1.03740471E+03  1.11622574E+02
 -1.03660326E+03  1.08921280E+02
 -1.03580174E+03  1.09212029E+02
 -1.03500029E+03  1.09853630E+02
 -1.03419890E+03  1.05356567E+02
 -1.03339744E+03  1.06140213E+02
 -1.03259599E+03  1.06227577E+02
 -1.03179460E+03  1.08535858E+02
 -1.03099321E+03  1.07125854E+02
 -1.03019182E+03  1.08419487E+02
 -1.02939043E+03  1.03618881E+02
 -1.02858910E+03  1.12124428E+02
 -1.02778776E+03  1.06234093E+02
 -1.02698643E+03  1.08101540E+02
 -1.02618510E+03  1.10185486E+02
 -1.02538383E+03  1.08347893E+02
 -1.02458256E+03  1.09896484E+02
 -1.02378129E+03  1.04816162E+02
 -1.02298003E+03  1.09423012E+02
 -1.02217876E+03  1.07021950E+02
 -1.02137755E+03  1.06617302E+02
 -1.02057634E+03  1.11103935E+02
 -1.01977513E+03  1.11788971E+02
 -1.01897392E+03  1.06362633E+02
 -1.01817277E+03  1.06922180E+02
 -1.01737163E+03  1.08092445E+02
 -1.01657048E+03  1.09271912E+02
 -1.01576933E+03  1.06876854E+02
 -1.01496825E+03  1.11188133E+02
 -1.01416716E+03  1.09688515E+02
 -1.01336607E+03  1.08980553E+02
 -1.01256499E+03  1.06202675E+02
 -1.01176390E+03  1.10066658E+02
 -1.01096287E+03  1.08698959E+02
 -1.01016185E+03  1.09245529E+02
 -1.00936082E+03  1.11203804E+02
 -1.00855980E+03  1.09315025E+02
 -1.00775883E+03  1.09067863E+02
 -1.00695787E+03  1.09864799E+02
 -1.00615691E+03  1.04261879E+02
 -1.00535594E+03  1.09298882E+02
 -1.00455504E+03  1.07013885E+02
 -1.00375407E+03  1.09958580E+02
 -1.00295317E+03  1.07164207E+02
 -1.00215233E+03  1.10398308E+02
 -1.00135142E+03  1.12170746E+02
 -1.00055058E+03  1.12668320E+02
 -9.99749740E+02  1.09044540E+02
 -9.98948897E+02  1.06458130E+02
 -9.98148055E+02  1.09235176E+02
 -9.97347274E+02  1.05200119E+02
 -9.96546432E+02  1.09404045E+02
 -9.95745711E+02  1.09784622E+02
 -9.94944930E+02  1.11119232E+02
 -9.94144149E+02  1.09028488E+02
 -9.93343429E+02  1.07346771E+02
 -9.92542708E+02  1.10667542E+02
 -9.91741988E+02  1.06847855E+02
 -9.90941329E+02  1.08267113E+02
 -9.90140609E+02  1.14677284E+02
 -9.89339950E+02  1.08628532E+02
 -9.88539290E+02  1.11530212E+02
 -9.87738692E+02  1.10231895E+02
 -9.86938033E+02  1.09989609E+02
 -9.86137435E+02  1.10984795E+02
 -9.85336837E+02  1.10640480E+02
 -9.84536239E+02  1.07930397E+02
 -9.83735702E+02  1.07804802E+02
 -9.82935103E+02  1.07012329E+02
 -9.82134566E+02  1.09104713E+02
 -9.81334029E+02  1.09132378E+02
 -9.80533553E+02  1.07261963E+02
 -9.79733016E+02  1.10832199E+02
 -9.78932540E+02  1.07692757E+02
 -9.78132064E+02  1.11087845E+02
 -9.77331588E+02  1.12560753E+02
 -9.76531173E+02  1.11039261E+02
 -9.75730758E+02  1.12669601E+02
 -9.74930343E+02  1.10887703E+02
 -9.74129928E+02  1.10399284E+02
 -9.73329513E+02  1.07351715E+02
 -9.72529159E+02  1.13250420E+02
 -9.71728805E+02  1.11043221E+02
 -9.70928451E+02  1.12214317E+02
 -9.70128097E+02  1.10012482E+02
 -9.69327804E+02  1.11079384E+02
 -9.68527511E+02  1.13417221E+02
 -9.67727218E+02  1.09627106E+02
 -9.66926925E+02  1.10087883E+02
 -9.66126693E+02  1.09421333E+02
 -9.65326400E+02  1.10086105E+02
 -9.64526168E+02  1.09655128E+02
 -9.63725997E+02  1.10618279E+02
 -9.62925765E+02  1.07576927E+02
 -9.62125533E+02  1.10945137E+02
 -9.61325362E+02  1.11053780E+02
 -9.60525252E+02  1.08312790E+02
 -9.59725081E+02  1.08662521E+02
 -9.58924911E+02  1.11910332E+02
 -9.58124801E+02  1.07548134E+02
 -9.57324691E+02  1.10523933E+02
 -9.56524642E+02  1.08636024E+02
 -9.55724532E+02  1.11350899E+02
 -9.54924483E+02  1.08761200E+02
 -9.54124373E+02  1.08304489E+02
 -9.53324386E+02  1.06481857E+02
 -9.52524337E+02  1.08536102E+02
 -9.51724349E+02  1.11986031E+02
 -9.50924361E+02  1.10079803E+02
 -9.50124373E+02  1.10757156E+02
 -9.49324386E+02  1.11389198E+02
 -9.48524459E+02  1.07481049E+02
 -9.47724471E+02  1.10963776E+02
 -9.46924544E+02  1.10080612E+02
 -9.46124618E+02  1.08578957E+02
 -9.45324752E+02  1.10441429E+02
 -9.44524886E+02  1.07729095E+02
 -9.43724959E+02  1.06863258E+02
 -9.42925155E+02  1.07599831E+02
 -9.42125289E+02  1.10884850E+02
 -9.41325484E+02  1.07878700E+02
 -9.40525619E+02  1.10141396E+02
 -9.39725814E+02  1.06825996E+02
 -9.38926070E+02  1.04041931E+02
 -9.38126266E+02  1.04865883E+02
 -9.37326522E+02  1.07905479E+02
 -9.36526778E+02  1.07563316E+02
 -9.35727035E+02  1.07343239E+02
