NI	953.772        1.73E+08  7.07E-02  -0.548  1.829
NI	953.9699       1.62E+08  3.31E-02  -0.878  1.499       
NI	953.6549       1.81E+08  2.47E-02  -1.005  1.372       
NI	953.4152       1.90E+08  1.29E-02  -1.286  1.091       
NI	952.4148       1.45E+07  1.97E-03  -2.103  0.274       
NI	952.3034       1.12E+07  2.29E-03  -2.039  0.338       
NII    1083.9937       3.74E+08  1.11E-01  -0.956  2.079	 
NIII   989.799         5.00E+08  1.23E-01  -0.610  2.085  0.04 
NIII   763.3400        1e8	 0.820E-01  0.839E-01	9.85   2
NIV    765.148         1e8	 0.616 0.632
NV     1242.804        3.356E+08 7.770E-02 
NV     1238.821        3.391E+08 1.560E-01 
MgII   1240.3947       1.54E+06  3.56E-04 
MgII   1239.9253       1.37E+06  6.32E-04 
MgII   2803.5315       2.595E+08 3.058E-01 -0.214  2.933  0.003
MgII   2796.3543       2.625E+08 6.155E-01  0.090  3.236  0.004
MgX    624.9500        1e8	 0.410E-01  0.410E-01	8.99   2
MgX    609.7900        1e8	 0.842E-01  0.839E-01	9.29   2
SiII   1526.7070       1.13E+09  1.33E-01  
SiII   1304.3702       1.01E+09  8.63E-02  
SiII   1260.4221       2.95E+09  1.18E+00  
SiII   1193.2897       4.07E+09  5.82E-01  
SiII   1190.4158       4.08E+09  2.92E-01  
SiII   1020.6989       1.08E+08  1.68E-02 
SiIII  1206.500        2.48E+09  1.63E+00   
SiIV   1402.7729       8.62E+08  2.54E-01  
SiIV   1393.7602       8.80E+08  5.13E-01  
AlII   1670.7886       1.39E+09  1.74E+00   0.241  3.463       
AlII   935.2738        6.41E+06  2.52E-03  -2.599  0.372       
AlIII  1862.7910       5.34E+08  2.78E-01  -0.255  2.714     
AlIII  1854.7184       5.42E+08  5.59E-01   0.048  3.016     
FeII   1144.9379       3.52E+08  8.30E-02  -0.081  1.978  0.03 
FeII   1143.2260       9.81E+07  1.92E-02  -0.716  1.342	
FeII   1142.3656       2.56E+07  4.01E-03  -1.397  0.661	
