 2374.461     FE II     3.260E-02     1.889     97    24   Card. & Sav. 95 
 2382.765     FE II     3.000E-01     2.855     97    23   Card. & Sav. 95 
 2586.650     FE II     6.840E-02     2.248     89    22   Card. & Sav. 95 
 2600.173     FE II     2.130E-01     2.743     89    22   Card. & Sav. 95 
 1317.217     NI II     1.458E-01     2.284    105    43
 1370.132     NI II     1.309E-01     2.254    100    41
 1393.324     NI II     2.222E-02     1.491     99    40
 1412.886     NI II     6.650E-03     0.973      0     0
 1454.842     NI II     5.954E-02     1.938     95    39
 1467.259     NI II     1.111E-02     1.212     94    38
 1467.756     NI II     2.269E-02     1.523     94    38
 1502.148     NI II     1.330E-02     1.301     92    37
 1703.405     NI II     1.224E-02     1.319     81    33
 1709.600     NI II     6.884E-02     2.071     81    33
 1741.549     NI II     1.035E-01     2.256     79    32
 1751.910     NI II     6.380E-02     2.048     79    32
 1804.473     NI II     7.159E-03     1.111     76    31
 1358.773     CU II     3.803E-01     2.713    101    41
 2026.136     ZN II     4.886E-01     2.996     68    28    Lawler f value
 2062.664     ZN II     2.564E-01     2.723     67    27    Lawler f value
 1414.402     GA II     1.799E+00     3.406     97    40
 1237.059     GE II     8.756E-01     1.035    112    45
 3933.663     CA II     6.346E-01     3.397     00    57	
 3968.468     CA II     3.145E-01     3.096     00    57
 5889.951     NA I      6.311E-01     3.570     00    38
 5895.924     NA I      3.180E-01     3.273     00    38
 5875.618     HE I*     0.000E+00     0.000     00    38
 0000.000     XXXX      0.000E+00     0.000     00    00
--------------------------------------------------------------------------
All wavelengths and f-values from Morton (1991) unless otherwise 
indicated.

 1239.925     MG II     1.250E-03     0.190    111    45    Sofia f-value   
 1240.395     MG II     6.250E-04    -0.110    111    45    Sofia f-value
