  0.00   0.00     1
  0.98   0.00     1
  1.96   0.00     1
  2.94   0.00     1
  3.92   0.00     1
  4.90   0.00     1
  5.88   0.00     1
  0.49   0.85     1
  1.47   0.85     1
  2.45   0.85     1
  3.43   0.85     1
  4.41   0.85     1
  5.39   0.85     1
  0.00   1.70     1
  0.98   1.70     1
  1.96   1.70     1
  2.94   1.70     1
  3.92   1.70     1
  4.90   1.70     1
  5.88   1.70     1
  0.49   2.55     1
  1.47   2.55     1
  2.45   2.55     1
  3.43   2.55     1
  4.41   2.55     1
  5.39   2.55     1
  0.00   3.39     1
  0.98   3.39     1
  1.96   3.39     1
  2.95   3.39     1
  3.93   3.39     1
  4.91   3.39     1
  5.89   3.39     1
  0.49   4.24     1
  1.47   4.24     1
  2.46   4.24     1
  3.44   4.24     1
  4.42   4.24     1
  5.40   4.24     1
  0.00   5.09     1
  0.98   5.09     1
  1.97   5.09     1
  2.95   5.09     1
  3.94   5.09     1
  4.92   5.09     1
  5.90   5.09     1
  6.86   0.00     2
  7.84   0.00     2
  8.82   0.00     2
  9.80   0.00     2
 10.78   0.00     2
 11.76   0.00     2
 12.74   0.00     2
  6.37   0.85     2
  7.35   0.85     2
  8.33   0.85     2
  9.31   0.85     2
 10.29   0.85     2
 11.27   0.85     2
 12.25   0.85     2
  6.86   1.70     2
  7.84   1.70     2
  8.82   1.70     2
  9.80   1.70     2
 10.78   1.70     2
 11.77   1.70     2
 12.75   1.70     2
  6.38   2.55     2
  7.36   2.55     2
  8.34   2.55     2
  9.32   2.55     2
 10.30   2.55     2
 11.28   2.55     2
 12.26   2.55     2
  6.87   3.39     2
  7.85   3.39     2
  8.84   3.39     2
  9.82   3.39     2
 10.80   3.39     2
 11.78   3.39     2
 12.76   3.39     2
  6.39   4.24     2
  7.37   4.24     2
  8.35   4.24     2
  9.33   4.24     2
 10.32   4.24     2
 11.30   4.24     2
 12.28   4.24     2
  6.89   5.09     2
  7.87   5.09     2
  8.85   5.09     2
  9.84   5.09     2
 10.82   5.09     2
 11.81   5.09     2
 12.79   5.09     2
 13.72   0.00     3
 14.70   0.00     3
 15.68   0.00     3
 16.66   0.00     3
 17.64   0.00     3
 18.62   0.00     3
 19.60   0.00     3
 13.23   0.85     3
 14.21   0.85     3
 15.19   0.85     3
 16.17   0.85     3
 17.15   0.85     3
 18.13   0.85     3
 19.11   0.85     3
 13.73   1.70     3
 14.71   1.70     3
 15.69   1.70     3
 16.67   1.70     3
 17.65   1.70     3
 18.63   1.70     3
 19.61   1.70     3
 13.24   2.55     3
 14.22   2.55     3
 15.20   2.55     3
 16.19   2.55     3
